studyID:sampleId	Altered	CTNNB1	ZNRF3	APC	AXIN1	AXIN2	RNF43	RSPO1	RSPO2	RSPO3	RSPO4
hcc_tcga_gdc:TCGA-DD-AADC-01	1	0	0	1	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AADB-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AADA-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AAD8-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AAD6-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AAD5-01	1	0	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-DD-AAD3-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AAD2-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AAD1-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AAD0-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AACZ-01	1	0	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-DD-AACY-01	1	0	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-DD-AACX-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AACW-01	1	0	0	0	1	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AACV-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AACU-01	1	0	0	0	1	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AACT-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AACS-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AACQ-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AACP-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AACO-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AACN-01	1	0	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-DD-AACM-01	1	0	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-DD-AACL-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AACK-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AACJ-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AACI-01	1	0	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-DD-AACH-01	0	0	0	0	0	0	0	0	0	0	0
