studyID:sampleId	Altered	CTNNB1	ZNRF3	APC	AXIN1	AXIN2	RNF43	RSPO1	RSPO2	RSPO3	RSPO4
ucec_tcga_gdc:TCGA-D1-A17S-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A17R-01	1	1	0	0	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A17Q-01	1	0	1	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A17N-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A17M-01	1	1	0	1	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A17L-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A17K-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A17H-01	1	0	0	0	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A17F-01	1	0	0	1	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A17D-01	1	0	0	0	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A17C-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A17B-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A17A-01	1	0	0	0	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A176-01	1	0	0	0	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A174-01	1	0	0	0	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A16Y-01	1	1	0	1	0	0	0	0	0	1	0
ucec_tcga_gdc:TCGA-D1-A16X-01	1	0	0	1	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A16V-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A16S-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A16R-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A16Q-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A16O-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A16N-01	1	0	0	1	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A16J-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A16I-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A16G-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A16E-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A16D-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A16B-01	1	1	0	0	0	0	0	0	1	0	0
ucec_tcga_gdc:TCGA-D1-A169-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A168-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A167-01	1	0	0	1	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A165-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A163-01	1	0	0	0	1	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A161-01	1	0	0	0	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A160-01	1	0	0	0	0	1	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A15Z-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A15X-01	1	0	1	1	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A15W-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A15V-01	1	0	0	0	1	0	0	0	1	0	0
ucec_tcga_gdc:TCGA-D1-A103-01	1	1	0	1	0	0	0	1	0	0	0
ucec_tcga_gdc:TCGA-D1-A102-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A101-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A0ZZ-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A0ZV-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A0ZU-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A0ZS-01	1	0	0	0	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A0ZR-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A0ZQ-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A0ZP-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A0ZO-01	1	0	0	1	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-D1-A0ZN-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BS-A0WQ-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BS-A0VI-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BS-A0V8-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BS-A0V7-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BS-A0V6-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BS-A0V4-01	1	0	0	0	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-BS-A0UV-01	1	0	0	1	0	0	0	1	0	0	0
ucec_tcga_gdc:TCGA-BS-A0UT-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BS-A0UM-01	1	0	0	0	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-BS-A0UL-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BS-A0UJ-01	1	1	0	1	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BS-A0UF-01	1	0	0	1	0	0	0	1	1	1	0
ucec_tcga_gdc:TCGA-BS-A0UA-01	1	0	1	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BS-A0U8-01	1	0	0	1	1	1	1	0	0	0	0
ucec_tcga_gdc:TCGA-BS-A0U7-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BS-A0U5-01	1	0	1	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BS-A0TJ-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BS-A0TI-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BS-A0TE-01	1	0	0	0	0	0	0	0	0	0	1
ucec_tcga_gdc:TCGA-BS-A0TD-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BS-A0TC-01	1	0	0	0	0	1	0	0	0	0	0
ucec_tcga_gdc:TCGA-BS-A0TA-01	1	0	0	0	0	0	0	0	0	1	0
ucec_tcga_gdc:TCGA-BS-A0T9-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BK-A6W4-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BK-A6W3-01	1	1	0	1	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-BK-A56F-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BK-A4ZD-01	1	0	0	0	0	0	0	0	1	0	0
ucec_tcga_gdc:TCGA-BK-A26L-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BK-A13C-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BK-A13B-01	1	1	0	1	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BK-A139-02	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BK-A139-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BK-A0CC-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BK-A0CB-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BK-A0CA-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BK-A0C9-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A3EW-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A2L7-01	1	0	0	0	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A2AE-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A222-01	1	0	0	0	0	0	1	0	1	1	0
ucec_tcga_gdc:TCGA-BG-A221-01	1	0	0	0	0	0	0	0	1	0	0
ucec_tcga_gdc:TCGA-BG-A220-01	1	0	1	0	0	1	1	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A18C-01	1	0	1	0	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A18B-01	1	0	0	0	0	1	0	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A18A-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A187-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A186-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A0YV-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A0YU-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A0W2-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A0W1-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A0VZ-01	1	0	0	0	0	1	0	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A0VX-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A0VW-01	1	0	0	1	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A0VV-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A0VT-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A0RY-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A0MU-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A0MT-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A0MS-01	0	0	0	0	0	0	0	0	0	0	0
